"","Gene_name","Protein_name","Protein_ID","Fold_change","P_value","Intersection"
"1","TPD52L2","Tumor protein D54","O43399",565.478959192863,6.2190495e-08,"DM|PE|RE"
"2","TPD52","Tumor protein D52","P55327",282.559669878222,3.4916534e-12,"DM|PE"
"3","BASP1","Brain acid soluble protein 1","P80723",116.275775790559,6.4928099e-07,"PE"
"4","SCAMP3","Secretory carrier-associated membrane protein 3","O14828",113.303181089762,4.1335066e-10,"DM|PE"
"5","ACTC1","Actin, alpha cardiac muscle 1","P68032",103.60012087884,0.00088316941,"PE"
"6","RAB6A","Ras-related protein Rab-6A","P20340",93.4776611609332,1.2568938e-10,"DM|PE"
"7","SYPL1","Synaptophysin-like protein 1","Q16563",88.5634839990833,8.6952173e-10,"DM"
"8","ITGB1","Integrin beta-1","P05556",88.0407946542554,2.9349423e-10,"PE"
"9","AGTRAP","Type-1 angiotensin II receptor-associated protein","Q6RW13",82.9451670607144,2.2573909e-09,"DM"
"10","SLC3A2","4F2 cell-surface antigen heavy chain","P08195",75.3300372386264,4.3602955e-10,"PE"
"11","BSG","Basigin","P35613",65.2298213586482,1.010942e-12,"PE"
"12","HLA-C","HLA class I histocompatibility antigen, Cw-7 alpha chain","P10321",54.2352960205685,2.4166705e-10,"PE"
"13","TFRC","Transferrin receptor protein 1","P02786",49.2649086089426,1.2409468e-08,"PE"
"14","AHNAK","Neuroblast differentiation-associated protein AHNAK","Q09666",48.73991012577,1.4670187e-05,"PE"
"15","CALR","Calreticulin","P27797",48.1618737254637,5.8597127e-08,"PE"
"16","ANXA2","Annexin A2","P07355",46.2502527932087,9.1408126e-09,"PE"
"17","EDIL3","EGF-like repeat and discoidin I-like domain-containing protein 3","O43854",44.6135798835648,6.6428432e-11,"DM|PE"
"18","SYNGR2","Synaptogyrin-2","O43760",43.9388299054087,5.6519447e-08,"DM|PE"
"19","RAB1B","Ras-related protein Rab-1B","Q9H0U4",42.8772297079613,1.5047021e-08,"DM|PE"
"20","SLC2A1","Solute carrier family 2, facilitated glucose transporter member 1","P11166",39.2352487053551,4.6199894e-10,"PE"
"21","GNAI2","Guanine nucleotide-binding protein G(i) subunit alpha-2","P04899",38.2901503262357,1.9636261e-10,"PE"
"22","PTHLH","Parathyroid hormone-related protein","P12272",37.5980341987041,0.0041862172,"PE"
"23","RAB1A","Ras-related protein Rab-1A","P62820",37.1769696015683,2.8809351e-05,"DM|PE"
"24","SLC7A5","Large neutral amino acids transporter small subunit 1","Q01650",37.0730320893551,1.0999084e-07,"PE"
"25","CD44","CD44 antigen","P16070",35.027326811139,3.341866e-10,"PE"
"26","ATP1A1","Sodium/potassium-transporting ATPase subunit alpha-1","P05023",34.5888076554283,1.1719896e-08,"PE"
"27","CANX","Calnexin","P27824",33.9292761573399,1.3002034e-06,"PE"
"28","HLA-A","HLA class I histocompatibility antigen, A-3 alpha chain","P04439",32.8621562563004,3.4754017e-08,"PE"
"29","RAB1C","Putative Ras-related protein Rab-1C","Q92928",32.140129305881,0.0001086136,"DM|PE"
"30","PDIA3","Protein disulfide-isomerase A3","P30101",31.1003299690043,4.7597596e-06,"PE"
"31","MSN","Moesin","P26038",28.3121414127773,3.7315064e-07,"PE"
"32","P4HB","Protein disulfide-isomerase","P07237",27.8787954185802,1.472346e-06,"PE"
"33","SCAMP1","Secretory carrier-associated membrane protein 1","O15126",27.2180492185815,7.2975026e-09,"DM"
"34","BST2","Bone marrow stromal antigen 2","Q10589",26.7847000891606,1.545637e-05,"DM|PE"
"35","SLC1A5","Neutral amino acid transporter B(0)","Q15758",25.8523037468788,1.4240687e-06,"PE"
"36","DNAJC5","DnaJ homolog subfamily C member 5","Q9H3Z4",25.8106037277116,1.5481216e-06,"DM"
"37","HIST1H2AJ","Histone H2A type 1-J","Q99878",25.6670864746644,0.026283512,"DM|RE"
"38","ITGA5","Integrin alpha-5","P08648",25.430752722306,1.5394379e-07,"PE"
"39","DNAJC13","DnaJ homolog subfamily C member 13","O75165",25.2173358579634,8.0910771e-09,"DM"
"40","M6PR","Cation-dependent mannose-6-phosphate receptor","P20645",24.500170592644,2.7054188e-08,"DM"
"41","MCAM","Cell surface glycoprotein MUC18","P43121",24.1271504331128,1.1623757e-07,"PE"
"42","GANAB","Neutral alpha-glucosidase AB","Q14697",23.6846808294101,1.1874231e-06,"PE"
"43","JUP","Junction plakoglobin","P14923",23.3761627041322,3.9124643e-07,"PE"
"44","VAMP7","Vesicle-associated membrane protein 7","P51809",23.1088439790749,1.3252112e-09,"DM"
"45","VAMP3","Vesicle-associated membrane protein 3","Q15836",22.8184077173349,1.1221455e-06,"DM|PE"
"46","PLEC","Plectin","Q15149",21.9268296422974,2.3798992e-07,"PE"
"47","RAB14","Ras-related protein Rab-14","P61106",19.8162975546243,9.4348792e-07,"DM|PE"
"48","VAMP2","Vesicle-associated membrane protein 2","P63027",19.7001435510704,2.8511745e-06,"DM"
"49","ATG9A","Autophagy-related protein 9A","Q7Z3C6",19.4823515485338,9.2478264e-10,"DM"
"50","HSP90B1","Endoplasmin","P14625",19.3589193613657,1.2304636e-08,"PE"
"51","RAB2A","Ras-related protein Rab-2A","P61019",19.0269093016627,1.5154036e-07,"DM"
"52","ITGAV","Integrin alpha-V","P06756",18.5175072539599,8.7582485e-08,"PE"
"53","HSPA9","Stress-70 protein, mitochondrial","P38646",18.4842749453292,1.9591762e-05,"PE"
"54","CTNNA1","Catenin alpha-1","P35221",18.1107953405019,1.2214569e-07,"PE"
"55","DAGLB","Sn1-specific diacylglycerol lipase beta","Q8NCG7",17.4431687479697,3.7236634e-07,"DM"
"56","LAMP1","Lysosome-associated membrane glycoprotein 1","P11279",17.423384857991,0.00019377341,"DM|PE"
"57","TPD52L1","Tumor protein D53","Q16890",17.2552139759533,3.0906246e-08,"DM"
"58","TMEM179B","Transmembrane protein 179B","Q7Z7N9",17.2148807416847,0.0013299284,"DM"
"59","ATP1B1","Sodium/potassium-transporting ATPase subunit beta-1","P05026",16.7958377297609,4.4314752e-06,"PE"
